0,1
you,is
is,she
she,<\s>
what's,she
she,called
do,you
you,think
do,you
you,<\s>
do,you
you,think
perhaps,she
she,doesn't
has,she
she,got
has,she
she,<\s>
shall,we
we,put
on,her
her,aran
should,we
we,<\s>
was,it
it,<\s>
<s>,i
i,think
fence,him
him,in
hadn't,you
you,<\s>
goodness,me
me,<\s>
<s>,he
he,could
couldn't,he
he,<\s>
round,him
him,<\s>
are,you
you,going
feed,him
him,a
is,it
it,going
with,you
you,<\s>
<s>,they
they,don't
<s>,i
i,think
think,they
they,can
is,it
it,you
it,you
you,want
aubergine,i
i,think
is,it
it,<\s>
is,it
it,a
that's,it
it,<\s>
<s>,we
we,haven't
have,we
we,<\s>
do,you
you,want
with,you
you,<\s>
are,you
you,having
with,you
you,<\s>
are,you
you,throwing
are,you
you,<\s>
is,it
it,<\s>
are,you
you,going
in,it
it,<\s>
are,you
you,giving
of,you
you,isn't
isn't,it
it,<\s>
is,she
she,your
is,she
she,<\s>
are,they
they,<\s>
hasn't,she
she,<\s>
aren't,they
they,<\s>
<s>,i
i,think
cut,her
her,hair
hasn't,she
she,<\s>
are,they
they,sore
are,they
they,sore
do,you
you,think
has,she
she,got
is,she
she,wearing
in,her
her,hair
hasn't,she
she,<\s>
shall,we
we,put
on,her
her,instead
shall,we
we,take
isn't,she
she,going
isn't,she
she,going
no,you
you,can't
<s>,they
they,won't
will,they
they,<\s>
here,we
we,are
doesn't,she
she,look
that,her
her,sailor
is,it
it,a
scrunch,it
it,all
are,you
you,taking
so,you
you,want
do,you
you,<\s>
oh,you
you,want
want,her
her,to
<s>,you
you,keep
<s>,i
i,think
for,her
her,<\s>
for,her
her,isn't
isn't,it
it,<\s>
willn't,we
we,<\s>
<s>,you
you,want
do,you
you,<\s>
hasn't,she
she,<\s>
do,you
you,want
want,her
her,to
do,you
you,<\s>
do,you
you,like
like,her
her,in
do,you
you,want
want,her
her,to
do,you
you,like
are,you
you,putting
<s>,it
it,goes
doesn't,it
it,<\s>
is,it
it,<\s>
are,you
you,looking
is,it
it,<\s>
is,he
he,going
if,you
you,sit
that,it
it,will
willn't,it
it,<\s>
<s>,you
you,want
<s>,i
i,can't
<s>,i
i,don't
there,we
we,are
isn't,he
he,<\s>
is,it
it,<\s>
<s>,i
i,thought
thought,it
it,would
is,it
it,<\s>
is,it
it,<\s>
are,you
you,<\s>
isn't,it
it,<\s>
is,he
he,<\s>
is,he
he,sitting
are,you
you,getting
are,you
you,ready
have,you
you,got
are,you
you,going
are,you
you,tired
are,you
you,<\s>
<s>,you
you,close
is,it
it,<\s>
<s>,you
you,could
then,you
you,can
do,you
you,want
tell,you
you,a
shall,we
we,have
shall,we
we,have
<s>,you
you,wanna
willn't,we
we,<\s>
<s>,we
we,went
didn't,we
we,<\s>
did,you
you,play
did,you
you,<\s>
yes,he
he,was
wasn't,he
he,<\s>
was,he
he,crying
yes,he
he,was
because,he
he,was
was,he
he,crying
did,he
he,want
<s>,he
he,wanted
<s>,he
he,did
did,he
he,want
<s>,i
i,don't
think,he
he,wanted
<s>,he
he,wanted
didn't,he
he,<\s>
<s>,he
he,wanted
<s>,he
he,was
wasn't,he
he,<\s>
do,you
you,want
do,you
you,want
get,you
you,percy
do,you
you,<\s>
are,you
you,finding
get,it
it,for
for,you
you,<\s>
have,you
you,dropped
dropped,him
him,down
reads,it
it,to
to,you
you,does
does,he
he,<\s>
oh,you
you,are
isn't,he
he,<\s>
what's,he
he,looking
is,it
it,<\s>
isn't,it
it,<\s>
isn't,he
he,<\s>
what's,he
he,going
what's,he
he,going
what's,he
he,going
there,we
we,are
what's,he
he,going
is,it
it,<\s>
hasn't,he
he,<\s>
isn't,it
it,<\s>
like,it
it,<\s>
what're,they
they,doing
haven't,they
they,<\s>
oh,you
you,want
do,you
you,<\s>
do,you
you,want
can,you
you,see
what's,she
she,sitting
isn't,she
she,<\s>
is,it
it,<\s>
isn't,it
it,<\s>
in,it
it,<\s>
isn't,it
it,<\s>
isn't,she
she,<\s>
what's,she
she,doing
isn't,she
she,<\s>
what's,she
she,doing
is,it
it,<\s>
isn't,it
it,<\s>
isn't,it
it,<\s>
what's,she
she,got
in,her
her,hand
what's,she
she,doing
do,you
you,do
isn't,it
it,<\s>
hasn't,it
it,<\s>
<s>,it
it,isn't
isn't,it
it,<\s>
