,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
250,250,HSLLD/HV1/sar,46,2.542857143,193,15,12,5,17,66,3,0.350756534,1,3,3,2,5,0,0,0,0,1,0,0,479,30,27,0,45,123,40,2,0,0,15
251,251,HSLLD/HV1/sar,46,3.191489362,147,14,11,4,20,30,4,0.371158392,1,6,2,2,1,0,0,0,0,0,1,1,240,28,13,0,39,33,16,6,3,1,10
252,252,HSLLD/HV1/sar,46,4.13253012,346,46,37,4,43,37,10,0.2125,18,16,5,0,0,0,0,2,0,0,1,4,1235,154,56,0,164,189,65,13,4,1,25
253,253,HSLLD/HV1/sar,46,3.529411765,382,40,18,6,47,70,7,0.317966903,1,11,20,0,1,0,1,0,1,2,1,2,461,50,22,0,56,65,24,1,3,0,43
254,254,HSLLD/HV1/sea,46,4.642857143,66,10,7,0,14,6,1,0.400990099,3,3,1,0,0,0,1,0,0,0,0,2,464,35,26,0,50,102,33,1,1,0,12
255,255,HSLLD/HV1/sea,46,3.090909091,38,8,5,0,5,6,0,0.385786802,2,0,3,0,0,0,2,0,0,1,0,0,126,23,8,0,21,17,10,1,0,0,4
256,256,HSLLD/HV1/sea,46,4.25,129,20,15,0,19,10,8,0.34762634,4,4,0,1,0,1,1,2,0,0,2,5,246,35,18,0,42,14,10,4,5,1,9
257,257,HSLLD/HV1/sea,46,4.28125,522,29,19,0,67,82,34,0.238993711,12,0,6,0,0,0,1,2,0,4,0,4,243,30,16,0,42,35,15,8,13,5,41
258,258,HSLLD/HV1/shl,46,2.903225806,85,8,7,0,7,21,6,0.334661355,6,0,0,0,0,0,0,1,0,0,0,1,667,50,39,0,69,140,61,4,1,0,2
259,259,HSLLD/HV1/shl,46,4.235294118,67,7,6,0,11,8,3,0.367491166,5,0,1,0,0,0,0,1,0,0,0,0,212,38,21,0,37,26,7,5,2,0,4
